# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	148898
#@/user_id	Mac
B zhan 	B站	c=1 d=1 t=103033
ren zhe shen gui 	忍者神龟	c=1 d=1 t=137176
ren zhe shen wei 	忍者神威	c=2 d=1.00072 t=145539
ren zhen 	认真	c=1 d=1 t=105231
ren zheng 	认证	c=3 d=1 t=129934
ren zhi 	认知	c=2 d=1 t=147033
ren zhu 	忍住	c=1 d=1 t=133767
reng diao 	扔掉	c=2 d=1 t=49344
reng jiu 	仍旧	c=1 d=1 t=93068
reng le 	扔了	c=3 d=1.15724 t=42868
reng ran 	仍然	c=5 d=1 t=144777
ri 	日	c=7 d=1 t=145734
ri ban 	日版	c=2 d=1 t=60474
ri ben 	日本	c=12 d=1.96561 t=120365
ri ben ren 	日本人	c=1 d=1 t=54009
ri chang 	日常	c=5 d=1 t=144358
ri chu 	日出	c=0 d=0.1 t=121268
ri huo 	日活	c=1 d=1 t=29389
ri jian 	日间	c=1 d=1 t=8643
ri li 	日历	c=2 d=1.99501 t=12007
ri qi 	日期	c=1 d=1 t=66276
ri wen 	日文	c=1 d=1 t=54018
ri yuan 	日元	c=1 d=1 t=60540
ri zhi 	日志	c=4 d=1.00412 t=18046
ri zi 	日子	c=3 d=1 t=129970
rong mao 	容貌	c=1 d=1 t=137187
rong mao 	绒毛	c=2 d=1.99005 t=137190
rong qi 	容器	c=2 d=1 t=121164
rong yao 	荣耀	c=7 d=1 t=86698
rong yi 	容易	c=22 d=1 t=128315
rong yi si 	容易死	c=0 d=0.1 t=98287
rong yu 	冗余	c=2 d=1 t=136079
rong yu 	荣誉	c=1 d=1 t=53871
rong zi 	融资	c=2 d=1 t=116241
rou 	肉	c=18 d=0.0557106 t=148898
rou ben jia 	肉本家	c=1 d=0.559898 t=148898
rou hou 	肉厚	c=1 d=1 t=76133
rou pian 	肉片	c=1 d=1 t=26473
rou si 	肉丝	c=4 d=1.02317 t=86627
rou yan 	肉眼	c=1 d=1 t=1084
ru 	儒	c=1 d=1 t=88922
ru 	入	c=5 d=1 t=114435
ru 	如	c=2 d=1 t=129563
ru 	汝	c=1 d=1 t=3801
ru ci 	如此	c=6 d=1 t=109791
ru er 	入耳	c=0 d=0.1 t=140614
ru er o 	入耳哦	c=1 d=1 t=140615
ru guo 	如果	c=247 d=1.70436 t=148898
ru guo mai 	如果买	c=1 d=1 t=61640
ru guo shuo 	如果说	c=2 d=1.00089 t=54168
ru guo wang 	如果网	c=1 d=1 t=121412
ru he 	如何	c=352 d=1.9707 t=148861
ru hua 	辱华	c=1 d=1 t=73522
ru kou 	入口	c=6 d=1 t=142021
ru men 	入门	c=5 d=1 t=82885
ru men kuan 	入门款	c=1 d=1 t=111242
ru qiu 	入球	c=1 d=1 t=23612
ru ruo 	如若	c=1 d=1 t=2727
ru shi 	如实	c=1 d=1 t=3103
ru shou 	入手	c=3 d=1.0066 t=88098
ru tao bao 	如淘宝	c=1 d=1 t=119370
ru wo 	如我	c=3 d=1 t=136327
ru xia 	如下	c=13 d=1 t=133842
ru zhi 	入职	c=3 d=1 t=98808
ruan 	软	c=7 d=1 t=143287
ruan 	阮	c=1 d=1 t=51350
ruan fan 	软饭	c=1 d=1 t=60743
ruan jian 	软件	c=109 d=1.0066 t=148557
ruan jian bao 	软件包	c=4 d=1.99757 t=34724
ruan jian jie mian 	软件界面	c=1 d=1 t=97088
ruan jian yuan 	软件源	c=3 d=1 t=119924
ruan jian yue 	软件月	c=1 d=1 t=54808
ruan lian jie 	软链接	c=4 d=3.84468 t=143760
ruan lu you 	软路由	c=36 d=1 t=134138
ruan lu you shang 	软路由上	c=1 d=1 t=61746
ruan wen 	软文	c=1 d=1 t=4214
ruan yi feng 	阮一峰	c=9 d=1 t=148455
rui 	瑞	c=1 d=1 t=11926
rui 	睿	c=1 d=1 t=25246
rui 	锐	c=1 d=1 t=121292
rui jie 	锐捷	c=1 d=1 t=25249
rui rui 	睿睿	c=1 d=1 t=125638
rui shi juan 	瑞士卷	c=1 d=1 t=21676
rui xing 	瑞幸	c=1 d=1 t=42155
rui zhe 	睿哲	c=7 d=1 t=136324
run 	润	c=1 d=1 t=88920
run hou 	润喉	c=1 d=1 t=54551
run hua 	润滑	c=1 d=1 t=74495
run se 	润色	c=1 d=1 t=105205
ruo 	弱	c=12 d=1 t=139380
ruo 	若	c=1 d=1 t=32233
ruo dian xiang 	弱电箱	c=1 d=1 t=61550
ruo hua 	弱化	c=2 d=1.80252 t=68326
ruo xia 	弱下	c=1 d=1 t=82371
ruo xiao 	弱小	c=2 d=1.86936 t=82372
ruo zhi 	弱智	c=1 d=1 t=17999
sa 	萨	c=1 d=1 t=78473
sai 	塞	c=6 d=1.99005 t=79496
sai 	赛	c=2 d=1 t=72285
sai bo 	赛博	c=7 d=1 t=134760
sai bo peng ke 	赛博朋克	c=3 d=1 t=110683
sai bo pi ka 	赛博皮卡	c=1 d=1 t=74763
sai cheng 	赛程	c=1 d=1 t=53938
sai dao 	赛道	c=2 d=1.62814 t=38293
sai er da 	塞尔达	c=5 d=1.96561 t=140904
sai ji 	赛季	c=7 d=1 t=146533
sai ji chu 	赛季初	c=2 d=1 t=101920
sai ji mo 	赛季末	c=2 d=1 t=70025
sai man le 	塞满了	c=1 d=1 t=54426
sai zuo 	噻唑	c=0 d=0.1 t=125094
sai zuo you xi 	噻唑游戏	c=1 d=1 t=125095
san 	三	c=5 d=1 t=136960
san 	伞	c=3 d=1 t=74551
san 	散	c=4 d=1 t=72887
san ba 	三坝	c=1 d=1 t=1895
san bu bian 	三不变	c=1 d=1 t=36693
san da dui 	三大队	c=2 d=1.31506 t=109762
san ge 	三个	c=15 d=1 t=138110
san ge ren 	三个人	c=1 d=1 t=118101
san ji pian 	三级片	c=1 d=1 t=9429
san jia 	三甲	c=1 d=1 t=26073
san le 	散了	c=0 d=0.1 t=104731
san le ge 	散了个	c=1 d=1 t=104732
san lian 	三联	c=1 d=1 t=5874
san lu 	三路	c=1 d=1 t=67903
san men wan 	三门湾	c=1 d=1 t=7226
san nian 	三年	c=2 d=1 t=135494
san nian ban 	三年半	c=1 d=1 t=19104
san pai 	三排	c=3 d=1.00014 t=101783
san re 	散热	c=4 d=1.625 t=92699
san shi 	三是	c=2 d=1 t=121616
san si xian 	三四线	c=2 d=1 t=105198
san tian 	三田	c=2 d=1 t=44912
san tian hou 	三天后	c=1 d=1 t=80991
san tian liang tou 	三天两头	c=4 d=1.01133 t=131177
san wei 	三维	c=1 d=1 t=8195
san wu 	三无	c=1 d=1 t=147300
san xing 	三星	c=4 d=1 t=110902
san yan liang ju 	三言两句	c=1 d=1 t=17959
san yuan 	三元	c=1 d=1 t=127691
san zhou nian 	三周年	c=1 d=1 t=31960
san zhuang 	散装	c=2 d=1 t=65225
sang 	桑	c=2 d=1.91851 t=98290
sang qi 	丧气	c=2 d=1.91851 t=98289
sang zi 	嗓子	c=3 d=1.85214 t=54547
sao 	扫	c=11 d=1 t=129087
sao 	骚	c=10 d=1 t=143679
sao ba 	扫把	c=1 d=1 t=134949
sao cao zuo 	骚操作	c=1 d=1 t=148333
sao di ji qi ren 	扫地机器人	c=1 d=1 t=67051
sao guo qu 	扫过去	c=1 d=1 t=18653
sao miao 	扫描	c=4 d=1.99005 t=91817
sao qi 	骚气	c=1 d=1 t=60887
se 	涩	c=1 d=1 t=59829
se 	色	c=5 d=1 t=115291
se cai 	色彩	c=1 d=1 t=57197
se se 	色色	c=2 d=1 t=82667
se wen 	色温	c=1 d=1 t=147785
sen 	森	c=1 d=1 t=59669
seng 	僧	c=1 d=1 t=135639
seng si 	僧寺	c=1 d=1 t=135957
sha 	傻	c=31 d=1 t=146699
sha 	啥	c=259 d=0.561557 t=148898
sha 	杀	c=11 d=1 t=106312
sha bi 	傻逼	c=22 d=3.19084 t=140323
sha bu diao 	杀不掉	c=1 d=1 t=78829
sha bu liao 	杀不了	c=1 d=1 t=75464
sha che 	刹车	c=1 d=1 t=147137
sha chuan 	杀穿	c=1 d=1 t=109105
sha chuang 	纱窗	c=1 d=1 t=17302
sha de 	啥的	c=0 d=0.1 t=13459
sha de le 	啥的了	c=1 d=1 t=13460
sha diao 	杀掉	c=1 d=1 t=3679
sha fa 	沙发	c=5 d=1 t=75034
sha fa shang 	沙发上	c=1 d=1 t=50179
sha gou 	傻狗	c=13 d=1.99501 t=147963
sha gou zi 	傻狗子	c=4 d=1 t=118784
sha gua 	傻瓜	c=1 d=1 t=49368
sha gua shi 	傻瓜式	c=2 d=1 t=101082
sha guo 	砂锅	c=2 d=1.956 t=43957
sha hu hu 	傻乎乎	c=2 d=1 t=94046
sha jiao 	啥叫	c=2 d=1 t=50619
sha la 	沙拉	c=2 d=1 t=127895
sha le 	傻乐	c=2 d=1 t=66735
sha le 	傻了	c=1 d=1 t=50662
sha le 	杀了	c=5 d=1 t=76230
sha le wo 	杀了我	c=1 d=1 t=102846
sha men 	沙门	c=1 d=1 t=89011
sha ren 	杀人	c=1 d=1 t=63700
sha ren shu 	杀人书	c=1 d=1 t=102174
sha ren zhe 	杀人者	c=1 d=1 t=142925
sha sheng wan 	杀生丸	c=1 d=1 t=41294
sha shi 	啥事	c=2 d=0.390628 t=148898
sha shi hou 	啥时候	c=5 d=0.241714 t=148898
sha shou 	杀手	c=0 d=0.1 t=15973
sha si 	杀死	c=1 d=1 t=11759
sha wan 	杀完	c=0 d=0.1 t=63674
sha wan le 	杀完了	c=1 d=1 t=63675
sha xi xi 	傻兮兮	c=1 d=1 t=140296
sha xiang 	沙箱	c=1 d=1 t=111424
sha yang 	啥样	c=2 d=1 t=112838
sha yao 	啥药	c=1 d=1 t=23595
sha yu 	鲨鱼	c=1 d=1 t=45934
sha zhi 	砂纸	c=2 d=1 t=88376
sha zi 	傻子	c=2 d=1 t=92859
shai 	晒	c=1 d=1 t=58261
shai xuan 	筛选	c=2 d=1 t=110610
shai xuan xiang 	筛选项	c=1 d=1 t=103339
shan 	山	c=1 d=1 t=88164
shan 	闪	c=1 d=1 t=56747
shan bu 	删不	c=0 d=0.1 t=134116
shan bu gan jing 	删不干净	c=1 d=1 t=134117
shan cha 	山茶	c=0 d=0.1 t=5884
shan cha hua kai 	山茶花开	c=1 d=1 t=5885
shan chu 	删除	c=33 d=1.12719 t=148898
shan chu jian 	删除键	c=1 d=1 t=2660
shan dian 	闪电	c=1 d=1 t=53759
shan diao 	删掉	c=3 d=1 t=108250
shan dong 	山东	c=2 d=1.86936 t=84324
shan guang 	闪光	c=1 d=0.100781 t=126365
shan guang yan 	闪光眼	c=1 d=1 t=126366
shan le 	删了	c=10 d=1 t=148809
shan mu 	山姆	c=12 d=1 t=128759
shan shuo 	闪烁	c=5 d=1 t=143872
shan tie 	删帖	c=3 d=2.83724 t=85619
shan tui 	闪退	c=1 d=1 t=91523
shan xian 	闪现	c=8 d=1.8825 t=106222
shang 	上	c=449 d=1.12266 t=148784
shang 	伤	c=3 d=1 t=97997
shang 	赏	c=2 d=1 t=44627
shang ba 	上把	c=6 d=1 t=109629
shang ban 	上班	c=90 d=0.292293 t=148898
shang ban nian 	上半年	c=1 d=1 t=136777
shang bao 	上报	c=20 d=3.86781 t=136519
shang ben 	上奔	c=1 d=1 t=50473
shang bu liao 	上不了	c=1 d=1 t=37691
shang bu liao wang 	上不了网	c=1 d=1 t=25742
shang bu qu 	上不去	c=1 d=1 t=84084
shang cang 	上苍	c=1 d=1 t=131548
shang ceng 	上层	c=4 d=1 t=121610
shang chang 	商场	c=3 d=1.00848 t=113852
shang che 	上车	c=8 d=1.01073 t=139328
shang cheng 	商城	c=5 d=1.75201 t=112900
shang chuan 	上传	c=21 d=1.96561 t=148781
shang chuang 	上床	c=1 d=1 t=147657
shang ci 	上次	c=110 d=1.67318 t=147418
shang ci na ge 	上次那个	c=1 d=1 t=79088
shang dan 	上单	c=1 d=1 t=63931
shang dang 	上当	c=1 d=1 t=95124
shang di 	上帝	c=1 d=1 t=137104
shang dian 	商店	c=11 d=1.95123 t=118605
shang fen 	上分	c=2 d=1 t=75758
shang fen 	上坟	c=1 d=1 t=18425
shang ge 	上个	c=1 d=1 t=62015
shang ge yue 	上个月	c=3 d=1 t=114332
shang guo 	上过	c=10 d=1 t=69922
shang guo ban 	上过班	c=1 d=1 t=29730
shang hai 	上海	c=15 d=1 t=138118
shang hai 	伤害	c=20 d=1.06687 t=138117
shang hao 	上号	c=5 d=1 t=143632
shang huo 	上火	c=3 d=1 t=71040
shang ji 	上级	c=1 d=1 t=98790
shang jia 	上家	c=2 d=1 t=40572
shang jia 	上架	c=6 d=1 t=103306
shang jia 	商家	c=4 d=1 t=137774
shang jiao 	上交	c=2 d=1 t=88074
shang jin dong gu 	伤筋动骨	c=1 d=1 t=27883
shang kou 	伤口	c=7 d=1 t=143459
shang lai 	上来	c=16 d=0.559898 t=148898
shang lai yi ge 	上来一个	c=1 d=1 t=29546
shang liang 	商量	c=2 d=0.548812 t=148898
shang lou 	上楼	c=2 d=1 t=134459
shang lu 	上路	c=5 d=1.94176 t=76170
shang men 	上门	c=3 d=0.725002 t=62032
shang men cha shui biao 	上门查水表	c=1 d=1 t=62033
shang mian 	上面	c=89 d=1.21809 t=145338
shang pi 	上皮	c=1 d=1 t=20384
shang pin 	商品	c=1 d=1 t=88749
shang qian 	上千	c=1 d=1 t=119350
shang qu 	上去	c=26 d=1 t=140203
shang shang 	上上	c=2 d=1 t=89736
shang shang ci 	上上次	c=1 d=1 t=13685
shang shang wang 	上上网	c=1 d=1 t=137966
shang shen 	上身	c=1 d=1 t=48340
shang sheng 	上升	c=1 d=1 t=94431
shang sheng hou 	上升后	c=1 d=1 t=51276
shang shou 	上手	c=7 d=1 t=131144
shang shu 	上述	c=1 d=1 t=129207
shang tang lu 	上塘路	c=1 d=1 t=58934
shang tou 	上头	c=5 d=1 t=139569
shang wan 	上完	c=1 d=1 t=123255
shang wang 	上网	c=14 d=1 t=145138
shang wei 	尚未	c=1 d=1 t=110080
shang wei you 	尚未有	c=1 d=1 t=72493
shang wu 	上午	c=20 d=1 t=146658
shang wu 	商务	c=1 d=1 t=140247
shang xia 	上下	c=10 d=1.29379 t=131803
shang xia ban 	上下班	c=1 d=1 t=84578
shang xia lu 	上下路	c=1 d=1 t=66627
shang xia wen 	上下文	c=9 d=1 t=142586
shang xian 	上线	c=9 d=1 t=120291
shang xian 	上限	c=11 d=1.5975 t=120290
shang xin chu 	伤心处	c=1 d=1 t=23559
shang xue 	上学	c=1 d=1 t=69179
shang ye 	商业	c=6 d=1 t=84228
shang yi 	上亿	c=1 d=1 t=37571
shang yi ceng 	上一层	c=1 d=1 t=79166
shang yi ci 	上一次	c=2 d=1 t=148318
shang yi dai 	上一代	c=1 d=1 t=38308
shang yi ge 	上一个	c=2 d=1 t=38607
shang yi ji 	上一级	c=1 d=1 t=126716
shang yi tiao 	上一条	c=1 d=1 t=147061
shang yin 	上瘾	c=1 d=1 t=62261
shang you 	上游	c=3 d=1 t=34994
shang you xi 	上游戏	c=2 d=1 t=46685
shang zhang 	上涨	c=1 d=1 t=38167
shang zhong xia 	上中下	c=1 d=1 t=131557
shang zhou 	上周	c=5 d=1 t=69917
shang zhou mo 	上周末	c=1 d=1 t=6250
shao 	少	c=75 d=1.0014 t=145376
shao 	烧	c=27 d=1 t=143695
shao bei 	烧杯	c=6 d=1 t=147148
shao bing 	烧饼	c=2 d=1 t=67937
shao chi 	少吃	c=3 d=1 t=130057
shao chi dian 	少吃点	c=1 d=0.1 t=74700
shao chi dian yao 	少吃点药	c=1 d=1 t=74701
shao deng 	稍等	c=8 d=1 t=139337
shao deng xia 	稍等下	c=1 d=1 t=118566
shao dian 	烧点	c=0 d=0.1 t=94083
shao dian fan 	烧点饭	c=1 d=1 t=94084
shao fan 	烧饭	c=2 d=1 t=86610
shao fu 	少妇	c=1 d=1 t=59860
shao gan 	烧干	c=1 d=1 t=82576
shao he 	少喝	c=1 d=1 t=53761
shao he dian 	少喝点	c=1 d=1 t=114246
shao hou 	稍后	c=4 d=1.9802 t=107775
shao jian 	少见	c=1 d=1 t=54769
shao jiao 	烧焦	c=1 d=1 t=146413
shao kan 	少看	c=1 d=1 t=23993
shao kao 	烧烤	c=5 d=1 t=130758
shao le 	少了	c=3 d=1 t=43722
shao liang 	少量	c=4 d=1 t=147190
shao ma 	少骂	c=1 d=1 t=73260
shao mai 	烧麦	c=2 d=1 t=98409
shao nan 	少男	c=0 d=0.1 t=5900
shao nan tuan 	少男团	c=1 d=1 t=5901
shao nian 	少年	c=1 d=1 t=5838
shao qian 	烧钱	c=2 d=1 t=111374
shao ren 	少人	c=1 d=1 t=128672
shao rou zong 	烧肉粽	c=0 d=0.1 t=74944
shao rou zong le 	烧肉粽了	c=1 d=1 t=74945
shao shu 	少数	c=2 d=1 t=81325
shao shui 	烧水	c=4 d=1.88865 t=9210
shao tang 	少糖	c=1 d=1 t=43398
shao wei 	稍微	c=32 d=1.00041 t=148384
shao xing 	绍兴	c=1 d=1 t=75720
shao yi dian 	少一点	c=2 d=1 t=63109
shao yi fu 	邵逸夫	c=1 d=1 t=109438
shao yi xie 	少一些	c=1 d=1 t=83281
shao zhao 	烧着	c=1 d=1 t=39479
she 	射	c=2 d=1 t=136023
she bao 	社保	c=9 d=1 t=98230
she bei 	设备	c=29 d=2.62279 t=137990
she bei bao wen 	设备保温	c=1 d=1 t=126444
she bu de 	舍不得	c=6 d=1 t=76442
she chi 	奢侈	c=6 d=1 t=88994
she chu 	社畜	c=1 d=1 t=113507
she ding 	设定	c=1 d=1 t=26155
she hui 	社会	c=3 d=1 t=107313
she hui xian e 	社会险恶	c=1 d=1 t=104674
she ji 	涉及	c=4 d=1 t=118302
she ji 	设计	c=33 d=1 t=147369
she ji de 	设计的	c=1 d=1 t=66383
she jiao 	社交	c=1 d=1 t=39938
she jiao quan 	社交圈	c=1 d=1 t=56926
she jin qiu yuan 	舍近求远	c=1 d=1 t=136969
she qu 	社区	c=6 d=1 t=118354
she qu ban 	社区版	c=1 d=1 t=45883
she ru 	摄入	c=1 d=1 t=95119
she she 	射射	c=2 d=1 t=89030
she shou 	射手	c=34 d=1 t=146527
she tou 	舌头	c=2 d=1 t=71043
she wei 	设为	c=1 d=1 t=114583
she xiang tou 	摄像头	c=7 d=1 t=132028
she ying 	摄影	c=1 d=1 t=86929
she zhi 	设置	c=113 d=0.22313 t=148898
she zhi cheng 	设置成	c=1 d=1 t=2484
shei 	谁	c=59 d=0.501576 t=148898
shei shei 	谁谁	c=1 d=1 t=51871
shei zhi 	谁知	c=3 d=1 t=126626
shen 	深	c=5 d=1 t=136527
shen 	神	c=12 d=1 t=137287
shen bian 	身边	c=2 d=1 t=88172
shen bian ren 	身边人	c=1 d=1 t=125389
shen bo zi 	伸脖子	c=1 d=1 t=8175
shen ceng ci 	深层次	c=1 d=1 t=130631
shen cha 	审查	c=1 d=1 t=142891
shen du 	深度	c=3 d=1 t=110471
shen duo 	甚多	c=1 d=1 t=15501
shen er mo 	深二模	c=1 d=1 t=117043
shen fen 	身份	c=1 d=1 t=114269
shen fen zheng 	身份证	c=3 d=0.900325 t=148898
shen gao 	身高	c=2 d=1 t=54986
shen guo 	伸过	c=1 d=1 t=41925
shen he 	审核	c=19 d=1 t=138373
shen hua gu shi 	神话故事	c=1 d=1 t=110752
shen ji 	审计	c=1 d=1 t=5793
shen jing 	神经	c=8 d=1.8781 t=101337
shen jing bing 	神经病	c=2 d=1 t=115305
shen jing ke 	神经科	c=2 d=1.8781 t=101421
shen jing xing 	神经性	c=1 d=1 t=20833
shen jiu 	深究	c=1 d=1 t=36387
shen ke 	深刻	c=1 d=1 t=116254
shen ling 	申领	c=1 d=1 t=28937
shen lve 	神略	c=1 d=1 t=136290
shen me 	什么	c=667 d=0.873217 t=148898
shen me de 	什么的	c=4 d=1 t=148138
shen me huo 	什么活	c=1 d=1 t=4288
shen me ka 	什么卡	c=1 d=1 t=99616
shen me shi qing 	什么事情	c=1 d=1 t=51936
shen me yang 	什么样	c=2 d=1 t=96213
shen mei pi lao 	审美疲劳	c=1 d=1 t=58756
shen miao 	神庙	c=1 d=1 t=140926
shen qi 	神器	c=5 d=1.99501 t=84139
shen qi 	神奇	c=2 d=1 t=148514
shen qing 	申请	c=20 d=1.04307 t=139410
shen qu 	身躯	c=1 d=1 t=28898
shen ru 	深入	c=15 d=1.00002 t=122512
shen ru tan suo 	深入探索	c=1 d=1 t=46226
shen se 	深色	c=2 d=1.97531 t=36306
shen se 	神色	c=1 d=1 t=36300
shen shang 	身上	c=1 d=1 t=78824
shen shang xian su 	肾上腺素	c=1 d=1 t=28534
shen shi 	绅士	c=1 d=1 t=5927
shen ti 	身体	c=17 d=1 t=136234
shen tou 	渗透	c=3 d=1 t=94504
shen wa 	深挖	c=1 d=1 t=59871
shen wang 	神王	c=2 d=1.00019 t=56333
shen wei 	神威	c=3 d=1.02791 t=144428
shen xian 	神仙	c=2 d=1 t=125204
shen xu 	肾虚	c=2 d=1 t=138052
shen xun shi 	审讯室	c=1 d=1 t=5847
shen yang 	沈阳	c=1 d=1 t=17899
shen zhi 	甚至	c=9 d=1 t=144549
shen zhou 	神舟	c=3 d=2.92688 t=42362
shen zhuang 	神装	c=2 d=1.31037 t=75542
shen zi 	身姿	c=1 d=1 t=133896
sheng 	声	c=2 d=1 t=63394
sheng 	生	c=9 d=1 t=125999
sheng 	盛	c=1 d=1 t=146430
sheng 	省	c=22 d=1 t=147167
sheng 	胜	c=2 d=1.96561 t=86717
sheng biao 	省标	c=1 d=1 t=63956
sheng bing 	生病	c=2 d=0.631284 t=148898
sheng bo 	声波	c=2 d=1.99501 t=48179
sheng cai 	生菜	c=1 d=1 t=6964
sheng chan 	生产	c=5 d=1 t=110313
sheng chan gong ju 	生产工具	c=1 d=1 t=71279
sheng cheng 	生成	c=54 d=1 t=146053
sheng chi jian yong 	省吃俭用	c=1 d=1 t=140850
sheng cun 	生存	c=2 d=1.94176 t=9930
sheng dan 	圣诞	c=1 d=1 t=83434
sheng de 	省得	c=2 d=1.00001 t=89886
sheng dian 	省电	c=1 d=1 t=121695
sheng fan 	剩饭	c=2 d=1 t=143594
sheng huo 	生活	c=10 d=1 t=135808
sheng huo fei 	生活费	c=2 d=1 t=90048
sheng ji 	升级	c=27 d=1 t=145958
sheng kou 	省口	c=18 d=1 t=57654
sheng le 	生了	c=1 d=1 t=56151
sheng li 	省力	c=1 d=1 t=65622
sheng lv 	胜率	c=14 d=1 t=127065
sheng lve 	省略	c=1 d=1 t=136291
sheng lve hao 	省略号	c=1 d=1 t=126538
sheng ming 	生命	c=1 d=1 t=143469
sheng nv 	剩女	c=1 d=1 t=19040
sheng qi 	生气	c=6 d=1 t=123471
sheng qian 	生前	c=1 d=1 t=9389
sheng qian 	省钱	c=5 d=1 t=61678
sheng ri 	生日	c=3 d=1.8006 t=145766
sheng shi 	省事	c=1 d=1 t=37188
sheng shou 	圣兽	c=1 d=1 t=142811
sheng suan 	胜算	c=1 d=1 t=61070
sheng tai 	生态	c=11 d=1 t=133099
sheng teng 	生疼	c=1 d=1 t=10825
sheng wo 	剩我	c=1 d=1 t=30541
sheng wu 	生物	c=1 d=1 t=98695
sheng wu zhong 	生物钟	c=2 d=1 t=94993
sheng xia 	剩下	c=18 d=1 t=143519
sheng xia lai 	生下来	c=1 d=1 t=29518
sheng xiao 	生效	c=19 d=1.00347 t=145469
sheng xin 	省心	c=2 d=1 t=98049
sheng ya 	生涯	c=1 d=1 t=19724
sheng yan 	生腌	c=1 d=1 t=113829
sheng ye 	生椰	c=2 d=1.96079 t=52667
sheng yi 	生意	c=1 d=1 t=88023
sheng yin 	声音	c=10 d=1.00022 t=138569
sheng yu 	剩余	c=10 d=3.00711 t=132069
sheng zhe dian 	省着点	c=1 d=1 t=13305
sheng zhi 	升值	c=1 d=1 t=17380
sheng zhi 	升职	c=6 d=1 t=44355
sheng zhi jia xin 	升职加薪	c=1 d=1 t=135912
shi 	事	c=5 d=1 t=116453
shi 	士	c=2 d=1.99005 t=50466
shi 	屎	c=6 d=1.98511 t=118108
shi 	式	c=3 d=1 t=116551
shi 	时	c=2 d=1.72253 t=8054
shi 	是	c=2026 d=4.48617 t=148898
shi ba 	是吧	c=13 d=0.625002 t=148898
shi ba sui 	十八岁	c=1 d=1 t=16646
shi bai 	失败	c=18 d=1 t=145774
shi bai le 	失败了	c=1 d=1 t=7038
shi bei 	是被	c=1 d=1 t=63898
shi bie 	识别	c=17 d=1 t=146417
shi bie xing 	识别性	c=1 d=1 t=6335
shi bu 	是不	c=0 d=0.1 t=11988
shi bu chi 	是不吃	c=7 d=1 t=142653
shi bu shi 	时不时	c=2 d=1 t=123310
shi bu shi 	是不是	c=95 d=1.12307 t=146091
shi bu shi fu zhi 	是不是复制	c=1 d=1 t=16252
shi bu xing 	十步行	c=1 d=1 t=23050
shi cai 	食材	c=1 d=1 t=26449
shi cha 	时差	c=2 d=1 t=43796
shi chang 	市场	c=14 d=1.78663 t=116334
shi chang 	时长	c=3 d=1.956 t=95805
shi dai 	时代	c=4 d=1.9802 t=99816
shi de 	似的	c=6 d=0.0227638 t=148898
shi de 	使得	c=2 d=1 t=132047
shi de 	是的	c=1 d=1 t=4449
shi de 	湿的	c=1 d=1 t=30985
shi duo tian 	十多天	c=1 d=1 t=66461
shi er 	十二	c=1 d=1 t=70674
shi fan 	示范	c=1 d=1 t=115094
shi fang 	释放	c=1 d=1 t=128303
shi fou 	是否	c=52 d=1 t=144129
shi fu 	师傅	c=12 d=0.1 t=121005
shi fu me 	师傅么	c=1 d=1 t=121006
shi ge 	是个	c=7 d=1 t=96805
shi gong 	施工	c=1 d=1 t=66275
shi guang 	时光	c=2 d=1.99005 t=78701
shi guang zhang 	时光杖	c=1 d=1 t=68315
shi guo 	试过	c=3 d=1 t=119262
shi hao shi huai 	时好时坏	c=1 d=1 t=134527
shi he 	适合	c=18 d=1.0011 t=137047
shi hou 	时候	c=319 d=0.529762 t=148898
shi hua 	实话	c=1 d=1 t=71344
shi hui 	实惠	c=1 d=1 t=42205
shi huo 	失活	c=1 d=1 t=27456
shi ji 	十几	c=0 d=0.1 t=101732
shi ji 	实际	c=31 d=1.00079 t=136097
shi ji 	时机	c=6 d=1 t=85523
shi ji ba 	十几把	c=1 d=1 t=27572
shi ji ge 	十几个	c=2 d=1 t=135985
shi ji ge qing qiu 	是几个请求	c=1 d=1 t=141358
shi ji ge ren 	十几个人	c=4 d=2.52633 t=119427
shi ji ke 	十几棵	c=1 d=0.1 t=63514
shi ji ke 	十几颗	c=2 d=1 t=63516
shi ji ke xing 	十几棵星	c=1 d=1 t=63515
shi ji kuai qian 	十几块钱	c=1 d=1 t=111253
shi ji lian sheng 	十几连胜	c=1 d=1 t=101733
shi ji xiao shi 	十几小时	c=1 d=1 t=8418
shi jian 	事件	c=37 d=1 t=147948
shi jian 	实践	c=2 d=1 t=146332
shi jian 	时间	c=125 d=1.1401 t=148850
shi jian biao 	时间表	c=1 d=1 t=57729
shi jian cha 	时间差	c=1 d=1 t=120693
shi jian chang 	时间长	c=1 d=1 t=32268
shi jian chuo 	时间戳	c=5 d=1.01394 t=136145
shi jian dian 	时间点	c=1 d=1 t=33626
shi jian duan 	时间段	c=1 d=1 t=87519
shi jian jiu le 	时间久了	c=1 d=1 t=63078
shi jiao 	视角	c=1 d=1 t=43553
shi jie 	世界	c=3 d=1 t=53864
shi jie 	视界	c=2 d=1 t=26353
shi jie bei 	世界杯	c=1 d=1 t=10049
shi jie shang 	世界上	c=1 d=1 t=46747
shi jing 	失敬	c=1 d=1 t=80504
shi jing 	诗经	c=3 d=2.85215 t=110727
shi jue 	视觉	c=1 d=1 t=116310
